STN,YYYY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
260,2013,20.0,17.0,25.0,81.0,115.0,153.0,192.0,181.0,144.0,122.0,67.0,59.0,98.0
260,2014,57.0,65.0,84.0,121.0,132.0,162.0,198.0,161.0,159.0,134.0,82.0,48.0,117.0
260,2015,40.0,35.0,62.0,90.0,124.0,156.0,184.0,185.0,134.0,99.0,99.0,96.0,109.0
260,2016,48.0,46.0,54.0,87.0,145.0,168.0,184.0,179.0,173.0,99.0,54.0,47.0,107.0
260,2017,16.0,51.0,86.0,86.0,150.0,180.0,179.0,172.0,137.0,133.0,73.0,49.0,109.0
260,2018,56.0,7.0,47.0,122.0,164.0,175.0,207.0,185.0,147.0,119.0,68.0,61.0,113.0
260,2019,35.0,61.0,80.0,109.0,117.0,181.0,188.0,184.0,145.0,116.0,64.0,58.0,112.0
260,2020,62.0,72.0,68.0,111.0,131.0,175.0,170.0,204.0,152.0,113.0,89.0,55.0,117.0
260,2021,34.0,43.0,64.0,67.0,112.0,182.0,180.0,169.0,159.0,116.0,74.0,54.0,105.0
260,2022,53.0,68.0,73.0,93.0,140.0,171.0,186.0,200.0,146.0,131.0,86.0,39.0,116.0
260,2023,58.0,57.0,70.0,87.0,135.0,194.0,181.0,176.0,175.0,132.0,78.0,69.0,118.0
260,2024,39.0,82.0,90.0,108.0,155.0,,,,,,,,
